"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Huettenberg-Wieting reg.Gen.m.b.H.","Reiftanzplatz 7","Huettenberg","RZKTAT2K340","2009-11-02",""
"AUSTRIA","Raiffeisenbank Ilz-Grossteinbach-Riegersburg eGen","Hauptstrasse 39","Ilz","RZSTAT2G151","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK IM MOSTVIERTEL ASCHBACH eGen","28, MITTLERER MARKT","ASCHBACH MARKT","RLNWATWWASC","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK IM RHEINTAL EGEN","Rathausplatz 8","Dornbirn","RVVGAT2B420","2009-11-02",""
"AUSTRIA","Raiffeisenbank im Vorderen Zillertal Fuegen Fuegenberg Kaltenbach Ried und Uderns reg.Gen.m.b.H.","Lindenweg 450","Fuegen","RZTIAT22229","2009-11-02",""
"AUSTRIA","Raiffeisenbank im Walgau eGen","Bahnhofstr. 2","Nenzing","RVVGAT2B458","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK IM WEINVIERTEL eGen","HAUPTPLATZ 37","MISTELBACH/ZAYA","RLNWATWWMIB","2009-11-02",""
"AUSTRIA","Raiffeisenbank Inneres Salzkammergut eGen","Kreuzplatz 20","Bad Ischl","RZOOAT2L545","2009-11-02",""
"AUSTRIA","Raiffeisenbank Innkreis Mitte eGen","Ort im Innkreis 7","Ort im Innkreis","RZOOAT2L200","2009-11-02",""
"AUSTRIA","Raiffeisenbank Kematen an der Krems eGen","Linzerstrasse 27","Kematen an der Krems","RZOOAT2L214","2009-11-02",""
"AUSTRIA","Raiffeisenbank Kematen eGen","Sandbichlweg 2","Kematen","RZTIAT22260","2009-11-02",""
"AUSTRIA","Raiffeisenbank Kirchdorf Tirol reg.Gen.m.b.H.","Dorfplatz 15","Kirchdorf i.T.","RZTIAT22262","2009-11-02",""
"AUSTRIA","Raiffeisenbank Kitzbuehel - St. Johann eGen","Vorderstadt 3 a","Kitzbuehel","RZTIAT22263","2009-11-02",""
"AUSTRIA","Raiffeisenbank Kleinmuenchen/Linz eGen","Salzburger Strasse 5","Linz","RZOOAT2L226","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK KLOSTERNEUBURG eGen","7, RATHAUSPLATZ","KLOSTERNEUBURG","RLNWATWW367","2009-11-02",""
"AUSTRIA","Raiffeisenbank Koenigsdorf eGen","Koenigsdorf 59","Koenigsdorf","RLBBAT2E041","2009-11-02",""
"AUSTRIA","Raiffeisenbank Koessen-Schwendt reg.Gen.m.b.H.","Dorf 4","Koessen","RZTIAT22264","2009-11-02",""
