"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Gunskirchen eGen","Raiffeisenplatz 1","Gunskirchen","RZOOAT2L129","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gurktal reg.Gen.m.b.H.","Hauptplatz 5","Strassburg","RZKTAT2K511","2008-01-28",""
"AUSTRIA","Raiffeisenbank Halbenrain-Tieschen eGen","Halbenrain 125","Halbenrain","RZSTAT2G128","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hallein eGen","Robertplatz 1","Hallein","RVSAAT2S022","2008-01-28",""
"AUSTRIA","Raiffeisenbank Handenberg-St. Georgen a. F. eGen","Baumgartnerstrasse 1","Handenberg","RZOOAT2L155","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hartberg eGen","Wiesengasse 2","Hartberg","RZSTAT2G403","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hausmannstaetten eGen","Grazer Strasse 6","Hausmannstaetten","RZSTAT2G133","2008-01-28",""
"AUSTRIA","Raiffeisenbank Heideboden eGen","Wiener Strasse 3","St.Andrae/Zicksee","RLBBAT2E090","2008-01-28",""
"AUSTRIA","Raiffeisenbank Heiligenkreuz-Kirchbach-St. Georgen eGen","Kirchbach 15","Kirchbach","RZSTAT2G170","2008-01-28",""
"AUSTRIA","Raiffeisenbank Helfenberg-St. Stefan eGen","Leonfeldner Strasse 5","Helfenberg","RZOOAT2L160","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hellmonsoedt eGen","Marktplatz 12","Hellmonsoedt","RZOOAT2L161","2008-01-28",""
"AUSTRIA","Raiffeisenbank Henndorf am Wallersee eGen","Hauptstr. 63","Henndorf","RVSAAT2S024","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hermagor reg.Gen.m.b.H.","Gasserplatz 4","Hermagor","RZKTAT2K543","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK HERZOGENBURG eGen","2, KREMSERSTRASSE","HERZOGENBURG","RLNWATWW769","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hinterstoder-Vorderstoder eGen","Hinterstoder 19","Hinterstoder","RZOOAT2L165","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hippach und Umgebung reg.Gen.m.b.H.","Lindenstrasse 11","Hippach","RZTIAT22241","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hitzendorf-Rein eGen","Hitzendorf 133","Hitzendorf","RZSTAT2G138","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hochkoenig eGen","Am Getreideplatz 3","Maria Alm","RVSAAT2S003","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hoersching-Thening eGen","Ofteringer Strasse 1","Hoersching","RZOOAT2L170","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hof-Koppl-Ebenau eGen","Hof 250","Hof","RVSAAT2S025","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hohenems","Schillerallee 1","Hohenems","RANMAT21XXX","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK HOLLABRUNN eGen","7, RAIFFEISENPLATZ 1","HOLLABRUNN","RLNWATW1322","2008-01-28",""
"AUSTRIA","Raiffeisenbank Hopfgarten im Brixental reg.Gen.m.b.H.","Brixentaler Strasse 15","Hopfgarten","RZTIAT22245","2008-01-28",""
"AUSTRIA","Raiffeisenbank Horitschon und Umgebung eGen","Guenser Strasse 28","Horitschon","RLBBAT2E031","2008-01-28",""
"AUSTRIA","Raiffeisenbank Huettau-St.Martin-Niedernfritz eGen","Huettau 57","Huettau","RVSAAT2S027","2008-01-28",""
"AUSTRIA","Raiffeisenbank Huettenberg-Wieting reg.Gen.m.b.H.","Reiftanzplatz 7","Huettenberg","RZKTAT2K340","2008-01-28",""
"AUSTRIA","Raiffeisenbank Ilz-Grossteinbach-Riegersburg eGen","Hauptstrasse 39","Ilz","RZSTAT2G151","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK IM MOSTVIERTEL ASCHBACH eGen","28, MITTLERER MARKT","ASCHBACH MARKT","RLNWATWWASC","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK IM RHEINTAL EGEN","Rathausplatz 8","Dornbirn","RVVGAT2B420","2008-01-28",""
"AUSTRIA","Raiffeisenbank im Vorderen Zillertal Fuegen Fuegenberg Kaltenbach Ried und Uderns reg.Gen.m.b.H.","Lindenweg 450","Fuegen","RZTIAT22229","2008-01-28",""
"AUSTRIA","Raiffeisenbank im Walgau eGen","Bahnhofstr. 2","Nenzing","RVVGAT2B458","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK IM WEINVIERTEL eGen","HAUPTPLATZ 37","MISTELBACH/ZAYA","RLNWATWWMIB","2008-01-28",""
